ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry
SATL,Satellogic Inc.,Space,2026-05-08,124,0.081429,0.054318,0.226904,0.032742,8964754.666667,7907052.800000,8330948.200000,1.329904,7.078000,6.759500,6.897250,-0.077994,5,False,False,False,False,0.087636
SPIR,Spire Global Inc.,Space,2026-05-08,124,0.123329,0.017052,0.119927,-0.142393,1173777.000000,1392306.200000,1959221.550000,0.695241,17.368000,17.102000,18.275000,-0.118033,4,False,False,False,True,-0.019341
CRWD,CrowdStrike Holdings Inc.,Cybersecurity,2026-05-08,124,0.107527,0.158305,0.177716,0.392460,3782262.333333,3151077.400000,2855484.350000,1.412505,489.466003,471.070001,450.385001,-0.020308,7,True,True,True,True,0.009061
PANW,Palo Alto Networks Inc.,Cybersecurity,2026-05-08,124,0.129905,0.148001,0.164333,0.334875,9259466.333333,7564039.800000,6708799.950000,1.732977,191.325998,186.245999,178.148000,-0.019573,6,True,True,False,True,-0.004322
FTNT,Fortinet Inc.,Cybersecurity,2026-05-08,124,0.268572,0.321938,0.352502,0.487223,12018929.000000,9094797.400000,6099799.350000,1.622330,98.229999,91.924999,87.130999,-0.020904,9,True,True,True,True,0.183847
ZS,Zscaler Inc.,Cybersecurity,2026-05-08,124,0.076188,0.088120,0.122731,0.288691,3029010.000000,2659426.000000,2635621.500000,1.304941,145.462000,140.270999,136.678500,-0.039612,4,True,False,False,False,-0.045924
OKTA,Okta Inc.,Cybersecurity,2026-05-08,124,0.079100,0.107152,0.104238,0.333227,3407750.000000,2856910.000000,3494092.500000,1.018419,79.442000,77.514000,75.021000,-0.033465,7,True,True,False,False,-0.064417
TENB,Tenable Holdings Inc.,Cybersecurity,2026-05-08,124,0.038535,0.028262,0.090410,0.360972,3599997.000000,3408078.200000,3592579.550000,0.937875,21.276000,21.088000,20.158500,-0.029809,7,False,True,False,False,-0.078245
CRM,Salesforce Inc.,Cloud Software,2026-05-08,124,-0.027649,-0.010880,0.020543,0.102207,12532066.333333,11156339.800000,12676119.950000,0.973302,184.364001,182.489001,181.231002,-0.031018,6,False,False,False,False,-0.131519
NOW,ServiceNow Inc.,Cloud Software,2026-05-08,124,-0.009021,0.000219,0.011201,0.098554,25144720.666667,24010892.400000,28159958.100000,0.864901,91.560001,90.710000,92.456000,-0.032170,6,False,True,False,False,-0.140861
