date,industry_group,industry_rank,average_10d_return,confirmed_signal_pct
2026-05-12,Cybersecurity,4,0.143281,0.500000
2026-05-12,Cloud Software,5,0.114803,0.333333
2026-05-12,AI Infrastructure,6,0.080860,0.500000
2026-05-12,Renewables,7,0.074238,0.400000
2026-05-12,Market ETFs,8,0.038260,1.000000
2026-05-12,Robotics Automation,9,0.037771,0.166667
2026-05-12,Adtech,10,0.020427,0.333333
2026-05-12,Nuclear,11,0.019611,0.000000
2026-05-12,Defensive Healthcare,12,0.011506,0.166667
2026-05-12,Defensive Staples,13,0.005259,0.166667
2026-05-12,Consumer Platforms,14,-0.018653,0.166667
2026-05-12,Defense,15,-0.019999,0.000000
2026-05-12,Fintech,16,-0.020350,0.166667
2026-05-12,Defense Drones,17,-0.067241,0.000000
2026-05-13,Space,1,0.276339,0.727273
2026-05-13,Energy Storage,2,0.233887,0.400000
2026-05-13,Semiconductors,3,0.195099,0.545455
2026-05-13,Cybersecurity,4,0.163632,0.500000
2026-05-13,Renewables,5,0.161586,0.800000
2026-05-13,Cloud Software,6,0.105074,0.333333
2026-05-13,AI Infrastructure,7,0.095116,0.500000
2026-05-13,Robotics Automation,8,0.079450,0.333333
2026-05-13,Market ETFs,9,0.044038,0.666667
2026-05-13,Nuclear,10,0.043179,0.000000
2026-05-13,Defensive Healthcare,11,0.017630,0.166667
2026-05-13,Fintech,12,0.011307,0.166667
2026-05-13,Defensive Staples,13,0.009166,0.166667
2026-05-13,Defense,14,-0.036428,0.000000
2026-05-13,Adtech,15,-0.039286,0.000000
2026-05-13,Consumer Platforms,16,-0.044332,0.000000
2026-05-13,Defense Drones,17,-0.082256,0.000000
2026-05-14,Space,1,0.260686,0.636364
2026-05-14,Energy Storage,2,0.257499,0.800000
2026-05-14,Cybersecurity,3,0.221737,0.666667
2026-05-14,Semiconductors,4,0.164190,0.454545
2026-05-14,Cloud Software,5,0.131966,0.333333
2026-05-14,Renewables,6,0.128920,0.600000
2026-05-14,AI Infrastructure,7,0.087396,0.500000
2026-05-14,Robotics Automation,8,0.044978,0.500000
2026-05-14,Market ETFs,9,0.038184,1.000000
2026-05-14,Fintech,10,0.032534,0.333333
2026-05-14,Defensive Healthcare,11,0.008073,0.166667
2026-05-14,Defensive Staples,12,0.000708,0.666667
2026-05-14,Adtech,13,-0.040772,0.000000
2026-05-14,Nuclear,14,-0.041002,0.000000
2026-05-14,Consumer Platforms,15,-0.044985,0.000000
2026-05-14,Defense,16,-0.047915,0.000000
2026-05-14,Defense Drones,17,-0.057709,0.000000
