ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,industry_risk_flag,rotation_type,causal_hypothesis,evidence_status,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
RTX,RTX Corporation,Defense,2026-05-22,251,0.014442,0.034058,0.005225,0.015781,4768951.333333,5102570.800000,5706197.700000,0.714268,175.656000,176.074998,175.401999,-0.043099,6,True,False,False,False,-0.006482,core_leader,4,0.009167,-0.165677,0.567882,neutral,none,unclear,unclear,needs_review,neutral,neutral,neutral,early_recovery,not_eligible_industry,4075754,ok,資料日期與本次市場日期一致。
LHX,L3Harris Technologies Inc.,Defense,2026-05-22,251,0.012429,0.028313,0.041183,-0.017417,1096887.333333,1125752.400000,1427323.100000,0.577418,309.353998,307.453000,309.473999,-0.019646,6,True,True,False,False,0.029476,specialist,4,0.008098,-0.172831,0.546297,neutral,none,unclear,unclear,needs_review,neutral,neutral,neutral,strong_uptrend,not_eligible_industry,824162,ok,資料日期與本次市場日期一致。
NOC,Northrop Grumman Corporation,Defense,2026-05-22,251,-0.001366,0.027539,0.011028,-0.033959,805507.333333,906444.400000,755641.100000,0.862079,553.134009,551.332007,558.672003,-0.031542,4,False,False,False,False,-0.000679,core_leader,4,-0.005535,-0.276607,0.301222,neutral,none,unclear,unclear,needs_review,neutral,reasonable_pullback,reasonable_pullback,strong_uptrend,not_eligible_industry,651422,ok,資料日期與本次市場日期一致。
LMT,Lockheed Martin Corporation,Defense,2026-05-22,251,0.012551,0.033391,0.052773,0.038543,1235186.333333,1239191.800000,1377897.950000,0.759823,526.712000,522.316998,517.480997,-0.010827,6,True,True,False,False,0.041066,core_leader,4,0.030453,-0.211999,0.476670,neutral,none,unclear,unclear,needs_review,neutral,neutral,neutral,strong_uptrend,not_eligible_industry,1046959,ok,資料日期與本次市場日期一致。
GD,General Dynamics Corporation,Defense,2026-05-22,251,0.008085,0.025082,-0.010504,0.094761,638606.666667,729744.000000,1384931.000000,0.378084,340.920001,341.156998,340.322498,-0.034521,3,True,False,False,False,-0.022211,core_leader,4,0.007544,-0.062326,0.764989,neutral,none,unclear,unclear,needs_review,neutral,neutral,neutral,early_recovery,not_eligible_industry,523620,ok,資料日期與本次市場日期一致。
HII,Huntington Ingalls Industries Inc.,Defense,2026-05-22,251,-0.012230,-0.016985,0.013754,-0.107601,339423.666667,347394.200000,590933.550000,0.352106,322.810004,326.270004,335.480003,-0.057575,6,False,False,False,False,0.002047,specialist,4,-0.044265,-0.293346,0.431556,neutral,none,unclear,unclear,needs_review,reasonable_pullback,reasonable_pullback,reasonable_pullback,sideways_base,not_eligible_industry,208071,ok,資料日期與本次市場日期一致。
LDOS,Leidos Holdings Inc.,Defense,2026-05-22,251,0.000397,0.018757,-0.031512,-0.137272,912468.333333,985941.000000,1338355.250000,0.578849,124.848000,125.372000,133.537000,-0.041670,5,True,False,False,False,-0.043218,non_leader,4,-0.056366,-0.365526,0.039304,neutral,none,unclear,unclear,needs_review,reasonable_pullback,deep_pullback,deep_pullback,early_recovery,not_eligible_industry,774705,ok,資料日期與本次市場日期一致。
RKLB,Rocket Lab USA Inc.,Space,2026-05-22,251,0.066373,0.088082,0.287191,0.703815,29287311.666667,30051667.000000,27756546.750000,1.177662,130.791998,127.033999,104.866499,-0.065758,7,False,True,False,True,0.029117,emerging_leader,3,0.294598,0.000000,1.000000,momentum_leader,none,unclear,unclear,needs_review,very_extended,very_extended,very_extended,overextended,too_extended,32687835,ok,資料日期與本次市場日期一致。
LUNR,Intuitive Machines Inc.,Space,2026-05-22,251,0.178681,0.128947,0.320677,0.498629,12749061.333333,13737756.800000,12297569.200000,1.182354,34.443999,34.282000,29.946000,-0.111172,6,False,True,False,True,0.062603,emerging_leader,3,0.277633,0.000000,1.000000,momentum_leader,none,unclear,unclear,needs_review,very_extended,very_extended,very_extended,overextended,too_extended,14540084,ok,資料日期與本次市場日期一致。
ASTS,AST SpaceMobile Inc.,Space,2026-05-22,251,0.201589,0.265209,0.410526,0.385602,24820209.000000,24240925.400000,21018646.350000,1.409735,93.320001,86.360001,78.535000,-0.116172,9,True,True,True,True,0.152453,emerging_leader,3,0.347934,-0.132935,0.836094,momentum_leader,none,unclear,unclear,needs_review,very_extended,extended,very_extended,overextended,too_extended,29630727,ok,資料日期與本次市場日期一致。
IRDM,Iridium Communications Inc.,Space,2026-05-22,251,0.120955,0.173474,0.178003,0.253593,2125183.333333,2133770.000000,2023247.500000,1.087781,45.358000,43.974000,41.537500,-0.041676,8,True,True,False,True,-0.080071,specialist,3,0.175805,0.000000,1.000000,momentum_leader,none,unclear,unclear,needs_review,very_extended,very_extended,very_extended,overextended,too_extended,2200850,ok,資料日期與本次市場日期一致。
SPCE,Virgin Galactic Holdings Inc.,Space,2026-05-22,251,0.296000,0.153025,0.102041,0.255814,18785391.333333,15895754.800000,10097258.700000,3.571393,2.708000,2.782000,2.659000,-0.154110,3,True,False,False,True,-0.156033,non_leader,3,0.218503,-0.303226,0.431452,momentum_leader,none,unclear,unclear,needs_review,very_extended,reasonable_pullback,very_extended,overextended,avoid_for_now,36061274,ok,資料日期與本次市場日期一致。
PL,Planet Labs PBC,Space,2026-05-22,251,0.066362,0.065593,0.136014,0.251411,8165533.000000,8942119.800000,8863684.950000,1.003589,42.538000,42.061000,39.434000,-0.033690,5,False,False,False,False,-0.122059,specialist,3,0.124664,0.000000,1.000000,momentum_leader,none,unclear,unclear,needs_review,extended,very_extended,very_extended,overextended,too_extended,8895499,ok,資料日期與本次市場日期一致。
RDW,Redwire Corporation,Space,2026-05-22,251,0.257369,0.243954,0.579946,0.806818,49662283.666667,57057150.200000,38047722.550000,1.355376,15.096000,13.871000,11.572500,-0.057566,6,False,True,True,True,0.321872,emerging_leader,3,0.511342,-0.149733,0.801418,momentum_leader,none,unclear,unclear,needs_review,very_extended,neutral,very_extended,overextended,too_extended,51568951,ok,資料日期與本次市場日期一致。
BKSY,BlackSky Technology Inc.,Space,2026-05-22,251,0.059774,0.235355,0.213435,0.415016,1784835.666667,2428101.400000,2371220.350000,0.852265,45.254000,43.052000,39.106500,-0.091655,7,True,True,False,True,-0.044639,specialist,3,0.224093,0.000000,1.000000,momentum_leader,none,unclear,unclear,needs_review,very_extended,very_extended,very_extended,overextended,too_extended,2020907,ok,資料日期與本次市場日期一致。
VSAT,Viasat Inc.,Space,2026-05-22,251,0.050881,0.072806,0.064991,0.202775,2720785.333333,2638091.200000,1812132.800000,1.229080,72.611998,72.149999,68.078000,-0.064603,5,True,False,False,False,-0.193083,specialist,3,0.095214,-0.009433,0.989330,momentum_leader,none,unclear,unclear,needs_review,extended,very_extended,very_extended,overextended,too_extended,2227256,ok,資料日期與本次市場日期一致。
SATL,Satellogic Inc.,Space,2026-05-22,251,0.098344,0.078252,0.401585,0.719611,9363087.333333,9281952.400000,8776688.100000,1.198694,9.834000,9.200000,7.979750,-0.132184,7,False,True,False,True,0.143511,non_leader,3,0.329616,0.000000,1.000000,momentum_leader,none,unclear,unclear,needs_review,very_extended,very_extended,very_extended,overextended,avoid_for_now,10520562,ok,資料日期與本次市場日期一致。
SPIR,Spire Global Inc.,Space,2026-05-22,251,0.106116,0.057471,0.144402,0.281647,1163064.666667,1237038.800000,1443839.700000,0.992350,19.756000,19.168000,18.135000,-0.054662,5,False,False,False,True,-0.113671,specialist,3,0.166805,-0.085566,0.877171,momentum_leader,none,unclear,unclear,needs_review,very_extended,extended,very_extended,overextended,too_extended,1432794,ok,資料日期與本次市場日期一致。
CRWD,CrowdStrike Holdings Inc.,Cybersecurity,2026-05-22,251,0.075509,0.116786,0.257101,0.480508,3251217.333333,3783690.400000,3027302.600000,0.899894,639.502002,602.255005,536.662503,-0.003151,8,False,True,False,True,0.065647,core_leader,5,0.236271,0.000000,1.000000,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review,very_extended,very_extended,very_extended,overextended,too_extended,2724252,ok,資料日期與本次市場日期一致。
PANW,Palo Alto Networks Inc.,Cybersecurity,2026-05-22,251,0.085162,0.073096,0.253512,0.459505,7215627.000000,8282396.200000,7871469.050000,0.841569,249.567999,238.593001,212.419500,-0.029974,9,False,True,False,True,0.062058,core_leader,5,0.226723,0.000000,1.000000,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review,very_extended,very_extended,very_extended,overextended,too_extended,6624381,ok,資料日期與本次市場日期一致。
FTNT,Fortinet Inc.,Cybersecurity,2026-05-22,251,0.049279,0.090813,0.174104,0.587977,5291872.666667,5701283.600000,6232755.900000,0.903038,129.506000,123.917001,107.921000,-0.013600,8,True,True,False,True,-0.017350,core_leader,5,0.241000,0.000000,1.000000,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review,very_extended,very_extended,very_extended,overextended,too_extended,5628418,ok,資料日期與本次市場日期一致。
ZS,Zscaler Inc.,Cybersecurity,2026-05-22,251,0.040628,0.132381,0.198777,0.345904,3076992.000000,3951595.200000,3088588.800000,1.291164,175.553998,163.998997,152.134998,-0.024194,6,True,True,True,True,0.007323,challenger,5,0.198738,-0.457668,0.294748,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review,very_extended,reasonable_pullback,very_extended,overextended,too_extended,3987876,ok,資料日期與本次市場日期一致。
OKTA,Okta Inc.,Cybersecurity,2026-05-22,251,0.076313,0.114413,0.099404,0.214004,2925451.000000,3162450.600000,2751167.650000,1.087521,88.692000,84.623000,81.068500,-0.042723,6,True,True,False,False,-0.092050,specialist,5,0.137803,-0.265020,0.468435,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review,extended,neutral,extended,early_recovery,too_extended,2991953,ok,資料日期與本次市場日期一致。
TENB,Tenable Holdings Inc.,Cybersecurity,2026-05-22,251,0.007921,0.184272,0.165827,0.271229,5078447.666667,5147168.600000,4015047.150000,0.912030,24.898000,22.933000,22.010500,-0.040357,5,True,False,False,True,-0.025627,specialist,5,0.156266,-0.282290,0.484552,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review,very_extended,neutral,very_extended,overextended,too_extended,3661843,ok,資料日期與本次市場日期一致。
CRM,Salesforce Inc.,Cloud Software,2026-05-22,251,0.003623,0.037808,-0.009625,0.010721,11318526.333333,13027515.800000,11744168.950000,0.849884,179.076001,175.111000,178.800001,-0.065638,5,True,False,False,False,-0.083321,core_leader,5,0.007103,-0.345525,0.137143,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review,neutral,deep_pullback,deep_pullback,early_recovery,wait_for_stabilization,9981179,ok,資料日期與本次市場日期一致。
NOW,ServiceNow Inc.,Cloud Software,2026-05-22,251,0.002946,0.074261,0.120092,0.132638,26114596.666667,37037778.000000,27454129.500000,0.795221,102.074001,96.348000,93.529000,-0.048530,6,True,True,False,False,0.046396,core_leader,5,0.091961,-0.511195,0.151900,momentum_leader,momentum_exhaustion,unclear,unclear,needs_review,extended,deep_pullback,extended,strong_uptrend,too_extended,21832090,ok,資料日期與本次市場日期一致。
