ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry,leader_type,industry_quality_score,distance_from_20d_ma,distance_from_52w_high,position_in_52w_range,industry_regime,short_term_price_zone,long_term_price_zone,price_zone,current_state,watch_status,latest_volume,data_status,data_quality_note
SPCE,Virgin Galactic Holdings Inc.,Space,2026-05-15,251,0.007168,-0.044218,0.060377,-0.040956,11848778.000000,10630886.800000,8643661.700000,1.540485,2.856000,2.736000,2.683500,-0.056391,3,False,False,False,False,-0.163584,non_leader,3,0.047140,-0.414583,0.243346,momentum_leader,neutral,deep_pullback,deep_pullback,sideways_base,avoid_for_now,13315434,ok,資料日期與本次市場日期一致。
PL,Planet Labs PBC,Space,2026-05-15,251,0.023107,0.066086,0.127913,0.081601,8492926.666667,9330716.000000,9326994.000000,0.936655,41.584000,39.756001,38.236000,-0.112119,6,True,True,False,True,-0.096048,specialist,3,0.088503,-0.032993,0.963923,momentum_leader,extended,very_extended,very_extended,overextended,too_extended,8736180,ok,資料日期與本次市場日期一致。
RDW,Redwire Corporation,Space,2026-05-15,251,0.216263,0.270099,0.505353,0.359768,50222915.000000,45137369.000000,32844087.250000,1.618807,12.646000,11.047000,10.407000,-0.057566,6,True,True,True,True,0.281392,emerging_leader,3,0.351014,-0.316480,0.580271,momentum_leader,very_extended,neutral,very_extended,overextended,too_extended,53168245,ok,資料日期與本次市場日期一致。
BKSY,BlackSky Technology Inc.,Space,2026-05-15,251,-0.038700,-0.017744,0.090014,0.031408,2440281.333333,3090048.800000,2201712.200000,1.115243,40.850001,38.874001,37.257500,-0.204147,6,False,False,False,True,-0.133947,specialist,3,0.040059,-0.091655,0.877468,momentum_leader,neutral,extended,extended,overextended,too_extended,2455444,ok,資料日期與本次市場日期一致。
VSAT,Viasat Inc.,Space,2026-05-15,251,-0.020989,-0.007285,0.067260,0.105808,1495158.666667,1564595.200000,1469548.800000,1.100526,71.688000,69.147001,65.638001,-0.064603,5,False,False,False,False,-0.156701,specialist,3,0.058838,-0.064603,0.926796,momentum_leader,neutral,very_extended,very_extended,overextended,too_extended,1617276,ok,資料日期與本次市場日期一致。
SATL,Satellogic Inc.,Space,2026-05-15,251,0.303311,0.299868,0.370474,0.419913,11251148.333333,12364849.000000,8890197.250000,1.826208,8.566000,7.822000,7.227750,-0.132184,6,True,True,True,True,0.146512,non_leader,3,0.361420,0.000000,1.000000,momentum_leader,very_extended,very_extended,very_extended,overextended,avoid_for_now,16235345,ok,資料日期與本次市場日期一致。
SPIR,Spire Global Inc.,Space,2026-05-15,251,0.134354,0.082207,0.100660,0.024053,2091724.333333,2074434.600000,1609508.650000,1.799539,18.580000,17.974000,17.656500,-0.118033,5,True,False,False,True,-0.123301,specialist,3,0.133294,-0.135264,0.805831,momentum_leader,extended,neutral,extended,overextended,too_extended,2896373,ok,資料日期與本次市場日期一致。
CRWD,CrowdStrike Holdings Inc.,Cybersecurity,2026-05-15,251,0.087700,0.125642,0.303836,0.401297,3156718.333333,3161771.000000,2828367.750000,1.362395,565.008008,527.237006,488.935002,-0.017753,9,False,True,True,True,0.083148,core_leader,5,0.215049,0.000000,1.000000,momentum_leader,very_extended,very_extended,very_extended,overextended,too_extended,3853355,ok,資料日期與本次市場日期一致。
PANW,Palo Alto Networks Inc.,Cybersecurity,2026-05-15,251,0.126299,0.168126,0.341009,0.446708,10406135.000000,9783581.000000,7273620.250000,1.585731,227.618002,209.472000,193.901000,-0.004768,8,False,True,True,True,0.120321,core_leader,5,0.252340,0.000000,1.000000,momentum_leader,very_extended,very_extended,very_extended,overextended,too_extended,11534005,ok,資料日期與本次市場日期一致。
FTNT,Fortinet Inc.,Cybersecurity,2026-05-15,251,0.078247,0.076357,0.422876,0.500244,5516584.333333,5635650.600000,6049517.650000,0.913933,118.328001,108.279000,96.647000,-0.013600,9,False,True,False,True,0.202188,core_leader,5,0.270396,0.000000,1.000000,momentum_leader,very_extended,very_extended,very_extended,overextended,too_extended,5528853,ok,資料日期與本次市場日期一致。
